wave,CFU4_vnir_63,CFU4_vnir_125_63,CFU4_vnir_250_125,CFU4_vnir_2_250,Cima1_vnir_63,Cima1_vnir_125_63,Cima1_vnir_250_125,Cima1_vnir_500_250,Cima3_vnir_63,Cima3_vnir_125_63,Cima3_vnir_250_125,Cima3_vnir_500_250,CFU1_vnir_63,CFU1_vnir_125_63,CFU1_vnir_250_125,CFU1_vnir_2_250,CFSW_vnir_63,CFSW_vnir_125_63,CFSW_vnir_250_125,CFSW_vnir_2_250,Hei_vnir_63,Hei_vnir_125_63,Hei_vnir_250_125,Hei_vnir_500_250,CFU2_vnir_63,CFU2_vnir_125_63,CFU2_vnir_250_125,CFU2_vnir_2_250,Ves_vnir_63,Ves_vnir_125_63,Ves_vnir_250_125,Ves_vnir_2_250,SS1_vnir_63,SS1_vnir_125_63,SS1_vnir_250_125,SS1_vnir_2_250,SS3_vnir_63,SS3_vnir_125_63,SS3_vnir_250_125,SS3_vnir_2_250,SS2_vnir_63,SS2_vnir_125_63,SS2_vnir_250_125,SS2_vnir_2_250,HLA_vnir_63,HLA_vnir_125_63,HLA_vnir_250_125,HLA_vnir_2_250,R8D1_vnir_63,R8D1_vnir_125_63,R8D1_vnir_250_125,R8D1_vnir_2_250,SS4_vnir_63,SS4_vnir_125_63,SS4_vnir_250_125,SS4_vnir_2_250,PS2_vnir_63,PS2_vnir_125_63,PS2_vnir_250_125,PS2_vnir_2_250,OAP_vnir_63,OAP_vnir_125_63,OAP_vnir_250_125,OAP_vnir_2_250,PS3_vnir_63,PS3_vnir_125_63,PS3_vnir_250_125,PS3_vnir_2_250,BT_vnir_63,BT_vnir_125_63,BT_vnir_250_125,BT_vnir_2_250,MSH_vnir_63,MHS_vnir_125_63,MSH_vnir_250_125,MSH_vnir_500_250,,,,
350,4.918543267,3.402559182,3.617284258,2.863964341,7.028706028,6.132814055,5.196751441,5.131534359,6.109597929,5.53169944,5.470817319,4.64881235,5.207829675,4.069179876,3.286382223,3.563819737,5.513299938,4.113589145,3.538002635,4.246142625,2.773026489,2.658776179,2.869936954,2.570535637,7.087950497,5.817999542,5.478234919,4.743796166,15.65238877,9.059587166,7.68511548,6.20361842,7.950704101,5.639784472,5.009384786,4.513176232,6.88449632,5.85383522,3.845014218,3.779411806,8.420710224,6.092161752,5.053505058,4.528107765,6.9648376,7.028898693,5.956332969,6.962429288,6.284634028,5.486615844,4.688886658,3.685005985,5.610595733,5.920978953,4.938387756,3.390421291,24.54098579,24.28281478,22.34778445,17.9582991,22.10627895,18.61316724,11.10549617,7.922286022,43.27774759,43.14413446,34.62400913,38.04833945,64.12216751,57.96690799,50.83763086,42.3289691,37.94333706,28.97006379,27.72506294,0,0,0,0,0
351,4.939010029,3.395400699,3.616728809,2.869071658,7.006056481,6.116406166,5.183473481,5.124960344,6.143975783,5.55296418,5.473340043,4.660132754,5.224731508,4.077218522,3.287821358,3.565445467,5.516622412,4.118669344,3.530646056,4.248227262,2.76698696,2.659504014,2.874855494,2.577759138,7.095416742,5.82355129,5.482112193,4.734262248,15.68132792,9.064330784,7.70281588,6.222443153,7.872667852,5.636926194,5.001764646,4.53365955,6.867244427,5.801572714,3.820898207,3.782146508,8.407287057,6.084016687,5.053433577,4.526333358,6.974341783,7.036325221,5.965255263,6.958532633,6.246542468,5.4642787,4.668230125,3.709655768,5.617357549,5.896813208,4.9224297,3.364553576,24.54958668,24.31138905,22.35259672,17.9727872,22.14283628,18.62298672,11.13928181,7.944387413,43.28882849,43.21874768,34.66763592,38.09378735,64.13010896,58.00521984,50.87924516,42.31791529,38.0915702,29.08218585,27.81918895,0,0,0,0,0
352,4.960369134,3.384564725,3.616941856,2.874859135,6.984432793,6.099393282,5.167473203,5.117891698,6.17800987,5.572806831,5.473933207,4.67011476,5.240398529,4.086519224,3.28983897,3.564659413,5.526890884,4.127033294,3.523470108,4.248479042,2.759586959,2.661485031,2.88112917,2.584218912,7.108965329,5.830360563,5.485508655,4.726159223,15.73190288,9.069749869,7.717641004,6.240999604,7.77281731,5.632709777,4.993262701,4.549730093,6.838485678,5.748850112,3.797711779,3.781120303,8.386991322,6.073927295,5.05046471,4.521370244,6.975172435,7.03362845,5.975921829,6.95723049,6.20636972,5.429753578,4.650436497,3.725558149,5.624799887,5.863832902,4.90615745,3.33778062,24.56155865,24.34770224,22.37794672,17.98612504,22.18868814,18.63888389,11.17628859,7.973361957,43.29024872,43.30597204,34.71419174,38.14640873,64.14062208,58.07547283,50.93168469,42.34887536,38.26004105,29.22627153,27.92297247,0,0,0,0,0
353,4.989229297,3.368979834,3.613006682,2.877644131,6.96866543,6.084647284,5.151688627,5.113269842,6.206564178,5.578446022,5.469077977,4.680720671,5.249569649,4.097199193,3.292142266,3.563100875,5.545143307,4.135907566,3.520338259,4.248268029,2.754279293,2.667209586,2.888069329,2.591337315,7.125429512,5.840137787,5.483653947,4.722324932,15.79398133,9.067026039,7.726326319,6.25029209,7.669470381,5.630282421,4.984499347,4.554846063,6.798773321,5.711270761,3.779809844,3.767743643,8.360043193,6.066789307,5.044444232,4.519709286,6.964514657,7.009787043,5.980588366,6.962584065,6.18638949,5.384228451,4.637958055,3.723243493,5.628931006,5.81745333,4.900711647,3.313282251,24.59429606,24.37623568,22.43579751,18.00315793,22.23434022,18.66786081,11.21702999,8.009447659,43.29034352,43.40965411,34.74959691,38.18508563,64.14459994,58.17800837,50.97216969,42.42485906,38.42158317,29.39934688,28.02708197,0,0,0,0,0
354,5.014798185,3.35540189,3.606354307,2.888464252,6.970159916,6.078110043,5.138052721,5.106273142,6.23797388,5.598132152,5.466570492,4.697195588,5.2570571,4.100628179,3.293581434,3.558829831,5.556403343,4.146800333,3.511981516,4.251412137,2.75101033,2.674314326,2.89425992,2.600033183,7.1362058,5.848698191,5.486082574,4.714968969,15.87674905,9.092050503,7.738279093,6.266662436,7.578511849,5.629428758,4.981086717,4.558485938,6.734469424,5.648168084,3.762740744,3.761678205,8.333011207,6.058984339,5.039622962,4.529604193,6.950261457,6.999041661,5.987407841,6.968324621,6.161664254,5.346696762,4.612385648,3.725455281,5.624212657,5.773837482,4.881884202,3.291166572,24.6345827,24.42931947,22.4937596,18.02771457,22.31457687,18.72000709,11.26020984,8.037818525,43.28909875,43.51532299,34.81448007,38.25063493,64.17359459,58.26307595,51.01723543,42.51441115,38.62899544,29.59992453,28.17361068,0,0,0,0,0
355,5.03624169,3.345283163,3.598240661,2.904129927,6.981220967,6.075136297,5.12429835,5.098490306,6.267585046,5.624413785,5.465602487,4.715236015,5.264744374,4.101449194,3.296373536,3.556387166,5.569124642,4.158091569,3.502741231,4.258423966,2.749958276,2.682393397,2.900166893,2.609512252,7.146895079,5.857072821,5.489574003,4.705956719,15.97595269,9.134791104,7.757008845,6.285757002,7.494192094,5.631566576,4.982112459,4.56029109,6.660988567,5.580240466,3.751542377,3.762561542,8.307193819,6.05106812,5.036531668,4.544535618,6.930764791,6.990210286,5.99384579,6.977064615,6.131102055,5.315877166,4.584552585,3.7305673,5.61774429,5.727162666,4.856745292,3.273271953,24.68795583,24.50130664,22.55681066,18.06795082,22.42274416,18.79328252,11.30788643,8.07057175,43.30222525,43.62390754,34.90136853,38.34766071,64.24144182,58.35131151,51.09074504,42.63034616,38.87087772,29.81969694,28.34718853,0,0,0,0,0
356,5.051653811,3.34171596,3.589931185,2.920349818,6.98688132,6.066763152,5.104856607,5.093055259,6.287409655,5.646364334,5.466151956,4.72760042,5.276266341,4.107739485,3.304957664,3.565457899,5.597998156,4.165972363,3.499583164,4.269862912,2.751745323,2.690417009,2.906420359,2.617577545,7.167287163,5.867204303,5.488206932,4.698193784,16.08533323,9.179803824,7.791404322,6.298533876,7.407376869,5.639689802,4.984715021,4.559576318,6.6062395,5.54353784,3.757568357,3.771014155,8.287544574,6.042773528,5.037530888,4.552418124,6.904175156,6.965406737,5.995374674,6.993846049,6.090365847,5.289131745,4.574279636,3.738221886,5.623245302,5.666194467,4.837875305,3.263072555,24.76338632,24.58472166,22.63159867,18.14234677,22.55256834,18.88999116,11.36498774,8.131128355,43.36095557,43.73830848,35.00211924,38.49115859,64.38283111,58.47964237,51.24425563,42.79816672,39.13143005,30.04284484,28.52511417,0,0,0,0,0
357,5.062535045,3.339786199,3.585381491,2.931654645,7.004644922,6.066503818,5.094771243,5.089737361,6.305322733,5.662147675,5.462631752,4.738043354,5.285865097,4.115681456,3.315004018,3.572506374,5.633396472,4.183445234,3.499224688,4.287898258,2.752177439,2.7012578,2.914132868,2.627879309,7.191479338,5.875990797,5.485961852,4.695352175,16.20512667,9.23145947,7.82594191,6.320617985,7.318488019,5.650143805,4.999611537,4.560792673,6.547723448,5.506581402,3.759050373,3.782767696,8.255467457,6.04249608,5.033396621,4.568440298,6.868052506,6.930298376,5.996029489,7.010356439,6.054015922,5.275313308,4.56379364,3.734461802,5.623522321,5.609775955,4.809872959,3.255371893,24.85904513,24.68314973,22.7273903,18.21916295,22.68750647,18.97753643,11.42545699,8.192350338,43.43396792,43.85129599,35.10434753,38.6481027,64.53754448,58.61895931,51.40337543,42.9887599,39.41625352,30.2931193,28.71422327,0,0,0,0,0
358,5.069799109,3.339985552,3.584306216,2.939404287,7.034730134,6.075660118,5.095180558,5.089561764,6.3191089,5.671106947,5.455267755,4.746912203,5.294066492,4.125357332,3.325066685,3.57645928,5.673238213,4.209832995,3.503318082,4.310390032,2.751174687,2.714071272,2.922354154,2.639089433,7.218794077,5.883361736,5.484136731,4.698764951,16.33606241,9.292129076,7.860111603,6.353887298,7.239622365,5.663938141,5.023879999,4.562945137,6.487866473,5.471446007,3.75693882,3.796270378,8.213708125,6.051828681,5.024364378,4.59142661,6.823153476,6.889997749,5.996900125,7.026786321,6.025672226,5.276338228,4.554323194,3.719835404,5.61598464,5.562024841,4.777040565,3.246791071,24.97166446,24.79418807,22.84698531,18.29634339,22.82606015,19.05584935,11.48810879,8.249358403,43.51697856,43.956407,35.20503842,38.81152918,64.69179139,58.76328556,51.55369467,43.18576034,39.71644565,30.56643331,28.90724218,0,0,0,0,0
359,5.08070168,3.346092772,3.580805949,2.954807194,7.065341686,6.090036207,5.098443321,5.096698241,6.31495755,5.673931723,5.448234789,4.755341324,5.307949796,4.140297789,3.331938239,3.583423568,5.714844139,4.230944968,3.520503761,4.325082307,2.751602395,2.723681125,2.926304231,2.643989166,7.251386537,5.890709361,5.487402126,4.70919367,16.48440767,9.370591553,7.903561483,6.392904429,7.21987816,5.68682592,5.035523514,4.558825995,6.451849333,5.465588633,3.771504347,3.808247962,8.187621628,6.06861051,5.01894526,4.604682803,6.773719531,6.863203324,5.999001232,7.04798784,6.004721215,5.291468491,4.560571075,3.709554028,5.60131703,5.524145742,4.769786704,3.226263987,25.08842462,24.90519129,22.99685003,18.39022826,22.98046567,19.15282794,11.55581874,8.302118226,43.61515687,44.03892031,35.30499188,38.97877179,64.82911746,58.91116546,51.69351713,43.34331228,39.9972195,30.83894594,29.07496153,0,0,0,0,0
360,5.077257117,3.358706826,3.580887155,2.969745717,7.102396859,6.111608422,5.102191766,5.106460732,6.311861784,5.67685294,5.445164457,4.759316096,5.320491216,4.152831714,3.340951804,3.591268506,5.756507983,4.252764351,3.540040902,4.348913131,2.754842036,2.731847827,2.929481596,2.646468487,7.283536891,5.90155584,5.488339237,4.727298844,16.63063423,9.456247061,7.948428505,6.436049915,7.23444377,5.712945116,5.052516513,4.552950349,6.42207875,5.47766682,3.796761055,3.820919527,8.176430153,6.096375972,5.021372458,4.616014635,6.734877607,6.842572002,6.008280015,7.082992463,6.005466379,5.321461436,4.583124185,3.700709297,5.5954515,5.503183599,4.770182558,3.207934672,25.21028772,25.02604298,23.14236128,18.48394805,23.12936034,19.26672136,11.61906099,8.346800745,43.72382747,44.11531115,35.42320919,39.16001065,65.0052102,59.06600983,51.83185713,43.49466155,40.26460588,31.06808665,29.23524447,0,0,0,0,0
361,5.055664374,3.377174093,3.5860024,2.981846867,7.145403704,6.139610466,5.105565699,5.116827476,6.315138861,5.681858041,5.446719891,4.757615605,5.330607082,4.160547225,3.353194274,3.599594201,5.795446659,4.275786277,3.557556703,4.385491524,2.760688855,2.738456553,2.932528047,2.647488574,7.313456609,5.916025347,5.485165271,4.751887632,16.76839848,9.544841918,7.992949551,6.482220923,7.274234557,5.739720277,5.078382098,4.547331034,6.392029618,5.505747139,3.830946062,3.834441096,8.180225146,6.135532925,5.033820409,4.627522657,6.711048593,6.827355572,6.024856835,7.133462337,6.031555652,5.363712824,4.621212178,3.693668876,5.603025597,5.500601672,4.77402285,3.196791483,25.3368637,25.15784026,23.27265753,18.57154499,23.26498787,19.39549935,11.67487123,8.383228395,43.83608088,44.18694351,35.5596452,39.35214589,65.22510904,59.22170782,51.96679305,43.6437569,40.51579818,31.23968557,29.39071528,0,0,0,0,0
362,5.065321975,3.39498297,3.592676344,2.995321771,7.174277974,6.165896046,5.127010079,5.127204373,6.328325196,5.696094986,5.449439715,4.765818942,5.367545113,4.174390312,3.36506181,3.614631481,5.812865225,4.294657829,3.56576673,4.412205241,2.75614679,2.742740556,2.936450918,2.651908465,7.358079381,5.924486692,5.497527292,4.766596115,16.93586191,9.638790606,8.063169557,6.537579019,7.287842373,5.764000474,5.094854547,4.55539936,6.335805486,5.57378739,3.869058481,3.851377796,8.188877285,6.184548197,5.062601869,4.650797342,6.686796228,6.841939382,6.018816062,7.179038158,6.064766413,5.376191163,4.649923023,3.703617785,5.619640595,5.498595905,4.793408582,3.206227085,25.51449143,25.32223828,23.45022288,18.67692366,23.41291859,19.52375075,11.75308967,8.449327377,43.9365995,44.27340684,35.65999882,39.51584536,65.37627591,59.36464871,52.11663645,43.80020565,40.7809858,31.45597879,29.56268829,0,0,0,0,0
363,5.081935219,3.408241651,3.598193282,3.00879884,7.194831177,6.18781534,5.150177822,5.139192901,6.347728561,5.714491649,5.45658905,4.776398896,5.411288406,4.182338293,3.376259007,3.631925736,5.823465947,4.311338198,3.573112667,4.442379549,2.751673935,2.745744023,2.941819989,2.658253507,7.403058605,5.935648231,5.513069039,4.779606881,17.09885479,9.736041816,8.138756631,6.592215947,7.323539447,5.785650602,5.113431805,4.579059177,6.30271955,5.633805951,3.901882584,3.863095122,8.216137133,6.24439254,5.095933702,4.680548175,6.690885806,6.874129831,6.021388936,7.223703047,6.102560692,5.392040492,4.68375616,3.727290398,5.629431425,5.504028353,4.817713862,3.218192808,25.71968416,25.49852758,23.62720266,18.79053251,23.56450111,19.6548416,11.82570418,8.524006536,44.05944609,44.37839762,35.75669334,39.67753221,65.51863376,59.51503457,52.26032099,43.92004453,41.04821696,31.67351097,29.74133154,0,0,0,0,0
364,5.088211366,3.413443929,3.599723748,3.021526754,7.210050368,6.202582962,5.163015116,5.153676806,6.369797065,5.733041089,5.469622943,4.783646294,5.446860814,4.175294342,3.386109919,3.64797168,5.837513426,4.326750049,3.585424462,4.485209488,2.754412194,2.74808938,2.948863034,2.665503706,7.437185291,5.955506857,5.522637304,4.7960001,17.23093189,9.834407148,8.204191229,6.637884366,7.415006806,5.803467506,5.141906645,4.619253138,6.328844687,5.647829015,3.92131178,3.862071879,8.270045766,6.314545401,5.123716397,4.712538958,6.743621265,6.91443451,6.054920943,7.268512077,6.140716661,5.434117913,4.731993769,3.762268697,5.619133168,5.519621808,4.838508862,3.218895815,25.93306901,25.6687754,23.76687304,18.90414293,23.71171864,19.78797502,11.87142317,8.591147428,44.22526086,44.50074098,35.86951664,39.85250017,65.68771149,59.68288668,52.3779941,43.96670642,41.30674732,31.86211732,29.91819257,0,0,0,0,0
365,5.0946871,3.42624302,3.602129984,3.028331614,7.218568426,6.213082904,5.174989671,5.162433268,6.400455569,5.754433553,5.477998037,4.790218686,5.472352524,4.190528821,3.401811571,3.666177368,5.851283321,4.339745598,3.605439424,4.520499384,2.763771145,2.751506753,2.952993203,2.67208021,7.465413662,5.974316593,5.52919701,4.802385742,17.36618529,9.914009381,8.277491659,6.693924964,7.482350204,5.832205377,5.160389203,4.657549105,6.362981036,5.67831645,3.937746062,3.88460036,8.34737923,6.37738683,5.163698642,4.739506395,6.779775712,6.960237489,6.081094678,7.317170249,6.199650474,5.48559028,4.769096677,3.793785453,5.624294721,5.550513692,4.866335789,3.211908158,26.14534901,25.84175663,23.93863436,19.03054124,23.87653371,19.93041671,11.94785449,8.664696055,44.43905333,44.68434118,35.97944516,40.04090585,65.8624165,59.83943167,52.48420288,44.00600346,41.55156755,32.03070009,30.07073334,0,0,0,0,0
366,5.104929375,3.440424578,3.607936617,3.032844415,7.223372318,6.221221808,5.185179329,5.168720297,6.442980479,5.780236629,5.487967077,4.793766024,5.495758335,4.214972974,3.418706448,3.681564001,5.867693494,4.354241704,3.62731737,4.547172721,2.775927695,2.754209564,2.956587481,2.676686551,7.493826349,5.99284057,5.539291986,4.803310315,17.51231233,9.984107061,8.352325546,6.752682969,7.53336698,5.864869164,5.176803727,4.692869239,6.406556349,5.71420572,3.954258017,3.916373027,8.431698983,6.429053606,5.210793087,4.761821868,6.811896526,7.011352721,6.107372057,7.363322784,6.258425064,5.534227669,4.80535552,3.827552691,5.639409647,5.58974038,4.893981076,3.207855539,26.35295495,26.02961776,24.12699265,19.15373553,24.05034615,20.06959786,12.03174695,8.736824108,44.64799651,44.8830977,36.08822873,40.2254839,66.03285604,59.99735833,52.59800098,44.06160698,41.7882154,32.18870429,30.20495272,0,0,0,0,0
367,5.123320789,3.448969898,3.621345311,3.041271351,7.229535913,6.229875448,5.193479238,5.178180798,6.504078055,5.814673845,5.509192262,4.791627229,5.529070488,4.231821266,3.431430286,3.6872163,5.890678832,4.37701028,3.643757038,4.56370971,2.785680222,2.753914034,2.96341496,2.67800649,7.532289112,6.012579138,5.564149713,4.805171708,17.68392446,10.05994215,8.422327,6.806538926,7.578769084,5.893212331,5.20166439,4.724197163,6.461495773,5.741397241,3.974865943,3.940566257,8.501060371,6.465003696,5.257693707,4.779349501,6.857014034,7.068951017,6.144028789,7.398403404,6.287853611,5.563662502,4.855841699,3.872746423,5.657889198,5.628559069,4.910896594,3.222319129,26.55341413,26.25533816,24.31438516,19.25420698,24.22639477,20.19130949,12.09473207,8.798356802,44.78642589,45.04075028,36.2067296,40.39090158,66.1947896,60.18269767,52.75418461,44.17224714,42.03601979,32.35483582,30.33544178,0,0,0,0,0
368,5.155327262,3.451184342,3.631650532,3.04306361,7.241656821,6.25060397,5.203003095,5.187111151,6.559278178,5.841508272,5.526594282,4.793322419,5.556623233,4.25094888,3.443092124,3.696778255,5.923210416,4.391538966,3.66002204,4.581754815,2.796689724,2.757301101,2.969648677,2.68066878,7.567002947,6.032309101,5.580607394,4.810871805,17.85455078,10.1225836,8.484153382,6.847185612,7.625305908,5.918335587,5.230399637,4.756566203,6.51345478,5.786325202,4.004477498,3.947929475,8.574922708,6.498050319,5.315514162,4.811651777,6.906073554,7.123588449,6.183233825,7.443474765,6.338643392,5.594061923,4.897936261,3.906980907,5.684343767,5.669524285,4.947269537,3.234546915,26.77275898,26.46496225,24.51785781,19.35911817,24.39413464,20.31185487,12.15256013,8.864877571,44.92486936,45.20682951,36.29252116,40.5332329,66.37070708,60.38675629,52.91617747,44.31619814,42.23376845,32.51491823,30.43882581,0,0,0,0,0
369,5.193758308,3.451547625,3.638937699,3.041259936,7.260999561,6.277323608,5.214633621,5.193758308,6.606841396,5.865084955,5.541029866,4.798688136,5.579463854,4.270659781,3.452815752,3.70790427,5.960974826,4.40010623,3.674932981,4.602713821,2.809485435,2.76393043,2.974439426,2.684623752,7.595492307,6.051206902,5.591169637,4.817612486,18.0244669,10.17973897,8.539563695,6.87939104,7.675481823,5.9435137,5.264870939,4.792152408,6.56187168,5.840307715,4.041519082,3.948165463,8.654280366,6.528900392,5.381733671,4.857119503,6.960160942,7.180522304,6.227281386,7.499114695,6.406672509,5.628237949,4.93164632,3.934606265,5.717494543,5.713690163,4.997783993,3.246208684,27.00582635,26.66216408,24.72622269,19.47091147,24.56087851,20.44044294,12.21020455,8.9355118,45.06111848,45.3757114,36.36021008,40.66530437,66.56064212,60.59040022,53.08016503,44.47778031,42.39902837,32.66849881,30.52975473,0,0,0,0,0
