,Parameter,splib07a_Albite_HS143.4B_Plagioclase_ASDFRc_AREF.txt
0,HCPINDEX2,-0.040087428588068484
1,LCPINDEX2,-0.04261201569511528
2,OLINDEX3,0.06018721061368758
3,SINDEX2,0.012084166589198309
4,GINDEX,-3.2126652156358374e-06
5,D460,0.0333028266421993
6,BD530_2,-0.0342296567667999
7,BD670,-0.00048792123603069726
8,D700,0.0006823785941704186
9,BD875,-0.014017364224915507
10,BD920_2,-0.02499612989677158
11,BD1200,0.006045918230594083
12,BD1300,0.06437351999727203
13,BD1400,0.012940297318534189
14,BD1450,0.01570109462403546
15,BD1750,-3.212786768624909e-06
16,BD1900r2,0.0728905178814967
17,BD1900_2,0.07663224519837508
18,BD2100_2,-0.044314623884778026
19,BD2100_3,-0.03013965932861895
20,BD2165,0.006210488653052626
21,BD2190,0.036961563364895755
22,D2200,0.011596015569657392
23,BD2210_2,0.02849342856819992
24,BD2250,-0.013495238398121945
25,BD2265,-0.019273652736330416
26,BD2290,-0.014892635926921916
27,D2300,-0.0042027664577153345
28,BD2355,0.016677245480781533
29,MIN2250,-0.021536538806072647
30,ISLOPE,0.12509389417429118
31,RPEAK1,0.7372914733239444
32,BDI1000VIS,0.188809797341784
33,IRR2,0.9341266095062679
