,Parameter,splib07a_Analcime_GDS1_Zeolite_BECKa_AREF.txt
0,HCPINDEX2,-0.42821760229082206
1,LCPINDEX2,0.0012705349921284456
2,OLINDEX3,0.258121116804921
3,SINDEX2,0.09778935386970844
4,GINDEX,0.0037533719623644127
5,D460,0.0018682158586754705
6,BD530_2,-0.004516057562483633
7,BD670,-0.0030298219777100677
8,D700,-0.0008583688856800276
9,BD875,-0.04437798949144778
10,BD920_2,-0.014394577104160255
11,BD1200,0.02824816230488747
12,BD1300,0.011294823950062205
13,BD1400,0.04972658033986743
14,BD1450,0.2685388053514963
15,BD1750,0.0037635699032032566
16,BD1900r2,0.519294775969239
17,BD1900_2,0.506799979149285
18,BD2100_2,-0.20697706666634086
19,BD2100_3,-0.028872745604662242
20,BD2165,0.01669894852192577
21,BD2190,-0.004486501083171834
22,D2200,-0.05492377378557367
23,BD2210_2,-0.02099748591578643
24,BD2250,-0.036156869682282045
25,BD2265,-0.03861279984894361
26,BD2290,-0.01500499878160233
27,D2300,-0.18455656905055728
28,BD2355,-0.10446929156459639
29,BDCARB,0.1871229350129574
30,MIN2295_2480,-0.044389890939699805
31,MIN2250,-0.044147748465923176
32,MIN2345_2537,-0.14524011179998286
33,ISLOPE,0.6536307433380082
34,RPEAK1,0.9100803156734188
35,BDI1000VIS,0.18517711074206566
36,IRR2,0.3102886961595587
