,Parameter,splib07a_Calcite_CO2004_BECKb_AREF.txt
0,HCPINDEX2,-0.12935900692314248
1,LCPINDEX2,-0.018206030851758814
2,OLINDEX3,0.13545572173058565
3,SINDEX2,-0.18186972399953527
4,GINDEX,0.005427230070941222
5,D460,0.011370583611074458
6,BD530_2,-0.008342775254049473
7,BD670,-0.0032780534308438636
8,D700,-0.0005660960873010712
9,BD875,-0.0060223996709583005
10,BD905,-0.004644245782055467
11,BD920_2,0.0006504334695180969
12,BD1200,-0.00042729062232305104
13,BD1300,-0.0009749829848653135
14,BD1400,0.00013603580403609428
15,BD1450,0.009005820941877185
16,BD1750,0.0054272300387010475
17,BD1900r2,0.009294414661880745
18,BD1900_2,0.01946556697135038
19,BD2100_2,-0.05936426233607772
20,BD2100_3,-0.052395167750792115
21,BD2165,0.023301630966185538
22,BD2190,-0.015832298353467555
23,D2200,-0.007318455912012967
24,BD2210_2,-0.06443534425867159
25,BD2250,-0.10653860620976974
26,BD2265,-0.08995333348387224
27,BD2290,0.02437328797868643
28,D2300,0.1604217702650641
29,BD2355,0.12753505872242066
30,BDCARB,0.19065449378522537
31,MIN2295_2480,-0.1159960708911072
32,MIN2250,-0.07179332589680909
33,MIN2345_2537,0.17897049088761807
34,ISLOPE,0.4631079453015427
35,RPEAK1,0.8536546436127225
36,BDI1000VIS,0.18752285758766568
37,IRR2,0.6759027067616394
