,Parameter,splib07a_Chalcedony_CU91-6A_BECKa_AREF.txt
0,HCPINDEX2,-0.04550177974418645
1,LCPINDEX2,-0.07146702157830795
2,OLINDEX3,0.03291221906880423
3,SINDEX2,-0.12531336832060735
4,GINDEX,-0.003163621146228741
5,D460,0.018025180030263654
6,BD530_2,-0.013381340900745275
7,BD670,0.009716983444793548
8,D700,0.00450048354114041
9,BD875,-0.02040496231962763
10,BD905,-0.03668124423680674
11,BD920_2,-0.01604174916333667
12,BD1200,-0.003935296481899497
13,BD1300,-0.05264644033076027
14,BD1400,0.012531174552716684
15,BD1450,0.07536851681273027
16,BD1750,-0.0031636088953299613
17,BD1900r2,0.19906499359801832
18,BD1900_2,0.2041731656205238
19,BD2100_2,-0.22706693698523006
20,BD2100_3,-0.11126544294375251
21,BD2165,-0.04969886255326372
22,BD2190,0.004191274143116264
23,D2200,0.12816058689959664
24,BD2210_2,0.09221255925628069
25,BD2250,0.11971331451265987
26,BD2265,0.10737841134098669
27,BD2290,0.015535618450477906
28,D2300,0.016595870991768513
29,BD2355,-0.0595203426660591
30,BDCARB,0.01994021823109371
31,MIN2295_2480,-0.010661954295284826
32,MIN2250,0.1094521853167858
33,MIN2345_2537,-0.0669781263194198
34,ISLOPE,0.3619450911640952
35,RPEAK1,0.89399999
36,BDI1000VIS,0.18964098918255212
37,IRR2,0.808685520179439
