,Parameter,splib07a_Goethite_0.02_Quartz_GDS240_BECKa_AREF.txt
0,HCPINDEX2,-0.015461445585663482
1,LCPINDEX2,-0.004767133245440447
2,OLINDEX3,-0.0012101166104257128
3,SINDEX2,0.0069726823752673806
4,GINDEX,0.0005405182684578065
5,D460,0.005060204818553959
6,BD530_2,0.07123589652490303
7,BD670,0.020550705103224765
8,D700,0.025163221426988236
9,BD875,0.021852315215762363
10,BD920_2,0.07663307864294133
11,BD1200,-0.01255299807042154
12,BD1300,-0.09624121025027588
13,BD1400,-0.001857739478800191
14,BD1450,0.001583008421723875
15,BD1750,0.0005405183090894106
16,BD1900r2,0.01126954380675016
17,BD1900_2,0.013304278426707672
18,BD2100_2,-0.020480836103129674
19,BD2100_3,-0.012934074803879758
20,BD2165,-0.00420195340171059
21,BD2190,-0.0030187793622575843
22,D2200,0.006346472792451818
23,BD2210_2,0.0015458531788885566
24,BD2250,0.0019476505090841867
25,BD2265,0.002628578429941575
26,BD2290,-0.0005730565233581508
27,D2300,0.012197431341938292
28,BD2355,-0.005805085138407495
29,BDCARB,0.0022072394813442697
30,MIN2295_2480,-0.0006200809562741938
31,MIN2250,0.002223209572660534
32,MIN2345_2537,-0.009395697599458686
33,ISLOPE,0.03763895511921461
34,RPEAK1,0.7066387999629598
35,BDI1000VIS,0.18404914121037486
36,IRR2,0.9600327109783123
