,Parameter,splib07a_Hematite_Thin_Film_GDS27_BECKa_AREF.txt
0,HCPINDEX2,-0.0017043793455890745
1,LCPINDEX2,-0.003704822513942152
2,OLINDEX3,0.0002372273295128004
3,SINDEX2,-0.017488539399144853
4,GINDEX,-0.0010671998006172537
5,D460,-0.013430774404727952
6,BD530_2,0.6347652836154306
7,BD670,0.02601134227563251
8,D700,0.02404401224834607
9,BD875,0.1747263200833632
10,BD905,0.16115371884072005
11,BD920_2,0.07212040775505435
12,BD1200,-0.0036522842708315295
13,BD1300,-0.10360484934318337
14,BD1400,0.0019567926562672477
15,BD1450,0.0015493770374985782
16,BD1750,-0.0010672000908853452
17,BD1900r2,0.003580344868947982
18,BD1900_2,0.006103044627974508
19,BD2100_2,-0.018440855447854343
20,BD2100_3,-0.008848224334021548
21,BD2165,-0.008725400736202982
22,BD2190,0.00012130840297774892
23,D2200,0.014501337145626736
24,BD2210_2,0.00652465898391108
25,BD2250,0.019115503235079823
26,BD2265,0.019447177349349754
27,BD2290,0.011052046090115786
28,D2300,0.00627342093656047
29,BD2355,-0.016379442453905213
30,BDCARB,-0.0017052085826811947
31,MIN2295_2480,0.007989905514903861
32,MIN2250,0.013511924653661245
33,MIN2345_2537,-0.015652065412888216
34,ISLOPE,-0.07126830995792433
35,RPEAK1,0.7393879578715743
36,BDI1000VIS,0.1861936509999822
37,IRR2,1.042347071924295
