,Parameter,splib07a_Jarosite_GDS98_K_90C_Syn_BECKa_AREF.txt
0,HCPINDEX2,-0.07468876736237147
1,LCPINDEX2,-0.07930776922119906
2,OLINDEX3,0.23540167729344888
3,SINDEX2,-0.06051353546143834
4,GINDEX,-0.006638566271630354
5,D460,-0.3392541292853528
6,BD530_2,-0.08989451437619089
7,BD670,-0.08106133814815841
8,D700,-0.04925086265854217
9,BD875,0.19963978529767767
10,BD905,0.3568625339172209
11,BD920_2,0.22994337374448737
12,BD1200,0.0011643983169494776
13,BD1300,-0.26911387838051626
14,BD1400,-0.07802484234439011
15,BD1450,0.051551438083370926
16,BD1750,-0.006638513244826116
17,BD1900r2,0.21111361005800877
18,BD1900_2,0.20640781074056314
19,BD2100_2,-0.1355649514422923
20,BD2100_3,-0.07106840714714369
21,BD2165,-0.04031097819702434
22,BD2190,-0.03409461287009696
23,D2200,0.04086360388648458
24,BD2210_2,0.021879099867359475
25,BD2250,0.058718712407527796
26,BD2265,0.11157906914155369
27,BD2290,0.08778949585975404
28,D2300,-0.0561694170120457
29,BD2355,-0.14805587999580494
30,BDCARB,0.02820924078378706
31,MIN2295_2480,0.06550188228916864
32,MIN2250,0.06209941324781021
33,MIN2345_2537,-0.1265009745153678
34,ISLOPE,0.4571223352033658
35,RPEAK1,0.6951615155231046
36,BDI1000VIS,0.12690310132313432
37,IRR2,0.7052659181327291
