,Parameter,splib07a_Kaolinite_CM3_BECKa_AREF.txt
0,HCPINDEX2,-0.05468433821781875
1,LCPINDEX2,-0.11013609496060481
2,OLINDEX3,0.15775509275210337
3,SINDEX2,0.011044769479523597
4,GINDEX,-0.010396608653433038
5,D460,0.026608289685530306
6,BD530_2,-0.027652649174493726
7,BD670,-0.00412594050885029
8,D700,-0.00046655136358930704
9,BD875,-0.011379649611380938
10,BD920_2,-0.005372060561026348
11,BD1200,-0.009332593048519078
12,BD1300,0.009168203182591816
13,BD1400,0.24812985554171718
14,BD1450,0.011240814206109007
15,BD1750,-0.010396368409023582
16,BD1900r2,0.05834041523735667
17,BD1900_2,0.06983741956635858
18,BD2100_2,-0.006228898231373181
19,BD2100_3,-0.0972299615283927
20,BD2165,0.19668017523542558
21,BD2190,0.24138826531319357
22,D2200,-0.06329687668807615
23,BD2210_2,0.09597727747337215
24,BD2250,-0.018559734635428926
25,BD2265,-0.05431303153704636
26,BD2290,0.002184688333678464
27,D2300,-0.1302739675809057
28,BD2355,0.02937550201643102
29,BDCARB,-0.02009469120740892
30,MIN2295_2480,-0.11566894976478981
31,MIN2250,-0.18722518787028908
32,MIN2345_2537,0.02697178865746397
33,ISLOPE,0.6745572861150069
34,RPEAK1,0.9093312087173686
35,BDI1000VIS,0.18803806527328648
36,IRR2,0.7685671880063207
