,Parameter,splib07a_Magnesite_Hydromag_HS47.3B_BECKa_AREF.txt
0,HCPINDEX2,-0.07120925074881819
1,LCPINDEX2,-0.07084737152870284
2,OLINDEX3,0.03562924202320097
3,SINDEX2,-0.026020405053039486
4,GINDEX,-0.005897517850139327
5,D460,0.011887845431115429
6,BD530_2,-0.024109428939588895
7,BD670,-0.0028215883299813616
8,D700,-0.0023652975492649553
9,BD875,-0.016157153684031256
10,BD920_2,-0.021139318983434574
11,BD1200,0.003417361217557424
12,BD1300,-0.0345520174577707
13,BD1400,0.03703458066557075
14,BD1450,0.04010601744721243
15,BD1750,-0.0058975317197889066
16,BD1900r2,0.15292584152590927
17,BD1900_2,0.13236707551519977
18,BD2100_2,-0.05947314830685624
19,BD2100_3,-0.007026092573714893
20,BD2165,-0.0342197704420546
21,BD2190,-0.05197109565058611
22,D2200,-0.009455459304160696
23,BD2210_2,-0.0335252642445234
24,BD2250,-0.016551003095774952
25,BD2265,0.0188349969372279
26,BD2290,0.0668021058945184
27,D2300,0.044404526243852716
28,BD2355,-0.10687968224958588
29,BDCARB,0.07317674956156639
30,MIN2295_2480,0.08564013937859138
31,MIN2250,-0.007609691980581923
32,MIN2345_2537,-0.06313871602384324
33,ISLOPE,0.45123474754558196
34,RPEAK1,0.9872512378448999
35,BDI1000VIS,0.18741886431594912
36,IRR2,0.7109794094381322
