,Parameter,splib07a_Saponite_SapCa-1_BECKb_AREF.txt
0,HCPINDEX2,-0.09510950668638946
1,LCPINDEX2,-0.06284800637539253
2,OLINDEX3,0.384790066079306
3,SINDEX2,0.051529389034747464
4,GINDEX,-0.00648751004790652
5,D460,-0.005274617127360326
6,BD530_2,-0.11727106821645883
7,BD670,-0.005966554372338173
8,D700,-0.001389543376824065
9,BD875,-0.016247395673258946
10,BD920_2,0.020154348225408625
11,BD1200,0.026208013149566667
12,BD1300,-0.050866444443285364
13,BD1400,0.37810019835385433
14,BD1450,0.28377716740476244
15,BD1750,-0.006477928605682415
16,BD1900r2,0.5560766466248305
17,BD1900_2,0.5400175895960364
18,BD2100_2,-0.23996207710457051
19,BD2100_3,-0.11217496400423865
20,BD2165,-0.01883928755317754
21,BD2190,-0.03141373887145571
22,D2200,-0.06562059498781925
23,BD2210_2,-0.08553126627461904
24,BD2250,-0.22124496217419654
25,BD2265,-0.22592056724737297
26,BD2290,0.1092418209787196
27,D2300,0.22505367246519536
28,BD2355,-0.15428889398350787
29,BDCARB,0.13071065911135737
30,MIN2295_2480,0.08600254740773472
31,MIN2250,-0.11370626383839988
32,MIN2345_2537,0.04963113667772501
33,ISLOPE,0.5712379663394107
34,RPEAK1,0.8491293170469305
35,BDI1000VIS,0.17947513946631144
36,IRR2,0.4103788939838658
