,Parameter,splib07a_Serpentine_HS8.3B_BECKc_AREF.txt
0,HCPINDEX2,-0.07903620409651273
1,LCPINDEX2,-0.08792437519126978
2,OLINDEX3,0.16048649012455982
3,SINDEX2,-0.07061525753157016
4,GINDEX,-0.01134782798245965
5,D460,-0.0060722595143436475
6,BD530_2,-0.10258116782245241
7,BD670,0.026266553032238238
8,D700,0.013411423184715998
9,BD875,-0.02846795841793881
10,BD905,0.012263811106963396
11,BD920_2,0.03540448418262376
12,BD1200,0.0074400102493099585
13,BD1300,0.03181868744278249
14,BD1400,0.1648571791614043
15,BD1450,0.0003908561628648277
16,BD1750,-0.011347836807651168
17,BD1900r2,0.04637686964676224
18,BD1900_2,0.05174669134608301
19,BD2100_2,-0.04673244956314604
20,BD2100_3,-0.0010967458635637861
21,BD2165,-0.018264871515718095
22,BD2190,-0.05069795341196959
23,D2200,-0.025864711478928548
24,BD2210_2,-0.07635849584601617
25,BD2250,-0.19845624506976178
26,BD2265,-0.1608834091425464
27,BD2290,0.036743135020379514
28,D2300,0.2332688713345863
29,BD2355,-0.030330867439278375
30,BDCARB,0.1585215346477995
31,MIN2295_2480,0.05691852977383338
32,MIN2250,-0.08080274674082899
33,MIN2345_2537,0.0388186299453398
34,ISLOPE,0.13369964235624124
35,RPEAK1,0.5173531656731346
36,BDI1000VIS,0.15512196397591804
37,IRR2,0.656167992511378
