,Parameter,splib07a_Stilbite_HS482.3B_Zeolite_ASDFRb_AREF.txt
0,HCPINDEX2,-0.31693558535093436
1,LCPINDEX2,-0.15641151776831055
2,OLINDEX3,0.1629155950058641
3,SINDEX2,0.3276712057958554
4,GINDEX,0.03044853607288049
5,D460,0.02787345745865355
6,BD530_2,-0.008065092825726428
7,BD670,-0.029054395213114148
8,D700,-0.001589410247237577
9,BD875,-0.038128429597162006
10,BD905,-0.0306947763091705
11,BD920_2,-0.025463764871016537
12,BD1200,0.055453990704324
13,BD1300,-0.10570512550960465
14,BD1400,0.1254180823697687
15,BD1450,0.3761360937952808
16,BD1750,0.03044866136794
17,BD1900r2,0.7300660823628147
18,BD1900_2,0.7352710780585585
19,BD2100_2,-0.31857536135896614
20,BD2100_3,-0.13214093680802996
21,BD2165,-0.02376966248037382
22,BD2190,-0.03504765577899582
23,D2200,-0.1533855800689894
24,BD2210_2,-0.045452160658941754
25,BD2250,-0.21136650070140073
26,BD2265,-0.21237363742326854
27,BD2290,-0.05879044907203057
28,D2300,-0.21695941846501077
29,BD2355,0.01598826013081922
30,MIN2250,-0.18222181030376694
31,ISLOPE,0.6744794685371487
32,RPEAK1,0.8697655721224243
33,BDI1000VIS,0.18669896475283565
34,IRR2,0.22038472316850036
