,Parameter,splib07a_Talc_GDS23_74-250um_fr_BECKa_AREF.txt
0,HCPINDEX2,-0.038100861384593676
1,LCPINDEX2,-0.19479135752078505
2,OLINDEX3,0.16711317085196747
3,SINDEX2,-0.38877258505345913
4,GINDEX,-0.01624508491263514
5,D460,0.045713558262980625
6,BD530_2,-0.05091320840503877
7,BD670,-0.005831013167696852
8,D700,-0.0005492253182197704
9,BD875,0.019521963139169873
10,BD905,0.04121340625885195
11,BD920_2,0.024432472598195143
12,BD1200,-0.0081534076160803
13,BD1300,-0.0244635479748736
14,BD1400,0.47155688162043974
15,BD1450,0.03025730957975914
16,BD1750,-0.016245111665959655
17,BD1900r2,0.06406107731561428
18,BD1900_2,0.068488391625943
19,BD2100_2,-0.03671088364945829
20,BD2100_3,0.04905927643934238
21,BD2165,-0.023167650813977536
22,BD2190,-0.05393335221712592
23,D2200,-0.057715974388836466
24,BD2210_2,-0.2430592244266787
25,BD2250,-0.22979295094560115
26,BD2265,-0.19195302202375797
27,BD2290,0.41032322989379266
28,D2300,0.6536911950812171
29,BD2355,-0.6353850368682235
30,BDCARB,0.3511846889960254
31,MIN2295_2480,0.06653653790616132
32,MIN2250,-0.10782985362956432
33,MIN2345_2537,-0.012630841154503303
34,ISLOPE,0.48830235624123397
35,RPEAK1,0.7277446699879976
36,BDI1000VIS,0.18815508343280218
37,IRR2,0.5629886685329774
